Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,Team_Rank,TS%,EFF,Nominated
Khalid Reeves,DET,11.0,10.2,0.7,1.9,0.381,0.1,0.333,0.6,0.389,0.405,0.7,1.3,0.571,0.3,0.4,0.6,1.0,0.4,0.0,0.6,2.3,1998-99,23,0.47,0.17,0
Stanley Roberts,HOU,6.0,5.5,0.8,2.2,0.385,0.0,,0.8,0.385,0.385,0.7,1.3,0.5,0.7,1.2,1.8,0.0,0.0,0.2,0.7,2.3,1998-99,21,0.41,0.27,0
Jacque Vaughn,UTA,19.0,4.6,0.6,1.6,0.367,0.1,0.25,0.5,0.409,0.4,1.1,1.3,0.833,0.1,0.5,0.6,0.6,0.3,0.0,0.7,2.3,1998-99,5,0.53,0.1,0
Drew Barry,SEA,17.0,10.8,0.6,1.9,0.313,0.5,0.333,0.1,0.25,0.438,0.5,0.8,0.692,0.2,1.0,1.2,1.7,0.4,0.1,0.7,2.2,1998-99,8,0.49,0.19,0
John Coker,WAS,14.0,7.0,0.9,2.2,0.419,0.0,,0.9,0.419,0.419,0.4,0.4,0.833,0.5,1.1,1.6,0.0,0.1,0.1,0.1,2.2,1998-99,20,0.46,0.19,0
Bill Curley,MIN,35.0,10.6,0.8,2.1,0.403,0.0,0.2,0.8,0.418,0.41,0.5,0.6,0.864,0.6,0.9,1.5,0.4,0.5,0.3,0.3,2.2,1998-99,17,0.47,0.09,0
Joe Kleine,PHO,31.0,12.1,1.0,2.4,0.405,0.0,0.0,1.0,0.417,0.405,0.3,0.4,0.667,0.9,1.3,2.2,0.4,0.3,0.0,0.3,2.2,1998-99,10,0.43,0.11,0
Lee Mayberry,VAN,9.0,14.0,0.8,2.1,0.368,0.2,0.2,0.6,0.556,0.421,0.4,0.6,0.8,0.0,0.3,0.3,2.6,0.8,0.0,1.2,2.2,1998-99,29,0.47,0.36,0
Jim McIlvaine,NJN,22.0,12.2,1.0,2.3,0.431,0.0,,1.0,0.431,0.431,0.2,0.3,0.667,1.4,1.0,2.5,0.1,0.4,1.5,0.6,2.2,1998-99,18,0.45,0.21,0
Eric Riley,BOS,35.0,9.6,0.8,1.5,0.519,0.0,,0.8,0.519,0.519,0.6,0.9,0.71,1.0,1.8,2.8,0.4,0.3,0.7,0.7,2.2,1998-99,24,0.58,0.13,0
Jeff Sheppard,ATL,18.0,10.3,0.8,2.2,0.385,0.1,0.286,0.7,0.406,0.41,0.4,0.7,0.615,0.3,0.9,1.2,0.9,0.2,0.0,0.4,2.2,1998-99,14,0.44,0.13,0
Brian Evans,2TM,16.0,9.1,0.8,2.8,0.295,0.3,0.308,0.6,0.29,0.341,0.3,0.3,1.0,0.4,0.8,1.2,0.9,0.3,0.2,0.1,2.1,1998-99,-1,0.36,0.16,0
Keith Closs,LAC,15.0,5.8,0.8,1.5,0.522,0.0,0.0,0.8,0.545,0.522,0.5,0.7,0.8,0.3,1.3,1.7,0.0,0.2,0.6,0.4,2.1,1998-99,31,0.58,0.22,0
Ben Davis,NYK,8.0,2.6,0.9,2.1,0.412,0.0,,0.9,0.412,0.412,0.4,0.8,0.5,1.1,0.3,1.4,0.4,0.0,0.0,0.1,2.1,1998-99,19,0.43,0.27,0
Marlon Garnett,BOS,24.0,8.5,0.6,2.1,0.294,0.3,0.261,0.4,0.321,0.353,0.6,0.8,0.75,0.1,0.8,0.9,0.8,0.2,0.0,0.5,2.1,1998-99,24,0.43,0.08,0
Al Harrington,IND,21.0,7.6,0.9,2.7,0.321,0.0,0.0,0.9,0.353,0.321,0.4,0.7,0.6,1.0,0.9,1.9,0.2,0.2,0.1,0.5,2.1,1998-99,9,0.35,0.09,0
Eric Montross,DET,46.0,12.5,0.9,1.7,0.525,0.0,0.0,0.9,0.532,0.525,0.2,0.7,0.344,1.0,2.0,3.0,0.3,0.3,0.6,0.3,2.1,1998-99,23,0.52,0.1,0
Dennis Rodman,LAL,23.0,28.6,0.7,2.0,0.348,0.0,0.0,0.7,0.364,0.348,0.7,1.7,0.436,2.7,8.5,11.2,1.3,0.4,0.5,1.3,2.1,1998-99,7,0.38,0.52,0
Scott Williams,2TM,7.0,6.6,0.7,2.4,0.294,0.0,,0.7,0.294,0.294,0.6,1.0,0.571,0.4,1.6,2.0,0.1,0.4,0.3,0.6,2.0,1998-99,-1,0.35,0.3,0
Kelly McCarty,DEN,2.0,2.0,1.0,1.5,0.667,0.0,,1.0,0.667,0.667,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,1.0,2.0,1998-99,33,0.67,1.0,0
Mikki Moore,DET,2.0,3.0,0.5,0.5,1.0,0.0,,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,2.0,1998-99,23,1.06,1.25,0
Corey Beck,2TM,24.0,7.5,0.8,1.6,0.462,0.0,1.0,0.7,0.447,0.474,0.3,0.6,0.533,0.3,0.9,1.2,0.8,0.4,0.1,0.5,1.9,1998-99,-1,0.51,0.12,0
Jerald Honeycutt,2TM,16.0,6.4,0.6,2.0,0.281,0.3,0.294,0.3,0.267,0.359,0.4,0.6,0.7,0.2,0.6,0.8,0.2,0.3,0.1,0.6,1.9,1998-99,-1,0.42,0.07,0
Reggie Jordan,MIN,27.0,11.0,0.6,2.0,0.278,0.0,,0.6,0.278,0.278,0.8,1.4,0.553,1.0,1.2,2.2,1.5,0.4,0.2,0.5,1.9,1998-99,17,0.36,0.14,0
Travis Williams,CHH,8.0,7.8,0.8,1.6,0.462,0.0,,0.8,0.462,0.462,0.4,0.5,0.75,0.8,1.6,2.4,0.3,0.3,0.1,0.8,1.9,1998-99,13,0.52,0.41,0
Anthony Avent,UTA,5.0,8.8,0.8,2.6,0.308,0.0,,0.8,0.308,0.308,0.2,0.4,0.5,1.6,0.8,2.4,0.2,0.4,0.0,1.4,1.8,1998-99,5,0.32,0.28,0
Jason Sasser,VAN,6.0,6.5,0.8,1.8,0.455,0.0,,0.8,0.455,0.455,0.2,0.3,0.5,0.3,0.8,1.2,0.3,0.3,0.0,0.3,1.8,1998-99,29,0.47,0.37,0
Rony Seikaly,NJN,9.0,9.8,0.4,2.2,0.2,0.0,,0.4,0.2,0.2,0.8,2.0,0.389,0.6,1.8,2.3,0.2,0.4,0.7,1.1,1.7,1998-99,18,0.28,0.13,0
Herb Williams,NYK,6.0,5.7,0.7,1.3,0.5,0.0,,0.7,0.5,0.5,0.3,0.3,1.0,0.5,0.5,1.0,0.0,0.0,0.3,0.3,1.7,1998-99,19,0.59,0.35,0
Kevin Ollie,2TM,8.0,9.0,0.5,1.8,0.286,0.0,,0.5,0.286,0.286,0.6,0.9,0.714,0.0,0.9,0.9,0.4,0.4,0.1,0.4,1.6,1998-99,-1,0.36,0.17,0
Keith Askins,MIA,33.0,12.6,0.6,1.9,0.323,0.2,0.276,0.4,0.364,0.387,0.2,0.2,0.625,0.3,1.0,1.3,0.3,0.5,0.1,0.4,1.6,1998-99,12,0.4,0.06,0
Fred Hoiberg,IND,12.0,7.3,0.5,1.8,0.286,0.1,0.111,0.4,0.417,0.31,0.5,0.5,1.0,0.2,0.8,0.9,0.3,0.0,0.0,0.3,1.6,1998-99,9,0.4,0.1,0
Nazr Mohammed,PHI,26.0,4.7,0.6,1.6,0.357,0.0,,0.6,0.357,0.357,0.5,0.8,0.571,0.7,0.7,1.4,0.1,0.2,0.2,0.5,1.6,1998-99,26,0.41,0.07,0
Felton Spencer,GSW,26.0,6.1,0.6,1.3,0.455,0.0,,0.6,0.455,0.455,0.5,1.0,0.462,0.7,1.1,1.8,0.0,0.2,0.4,0.3,1.6,1998-99,30,0.46,0.1,0
Michael Hawkins,SAC,24.0,8.5,0.6,1.7,0.35,0.2,0.263,0.4,0.429,0.413,0.1,0.1,1.0,0.4,0.6,1.0,1.1,0.1,0.0,0.5,1.5,1998-99,27,0.43,0.09,0
Jerome James,SAC,16.0,2.6,0.6,1.5,0.375,0.0,,0.6,0.375,0.375,0.4,0.8,0.5,0.4,0.7,1.1,0.1,0.1,0.4,0.6,1.5,1998-99,27,0.4,0.08,0
Adonis Jordan,MIL,4.0,4.5,0.5,1.0,0.5,0.0,0.0,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.8,0.8,0.0,0.5,1.5,1998-99,25,0.52,0.4,0
Marko Milič,PHO,11.0,4.8,0.7,1.8,0.4,0.0,0.0,0.7,0.421,0.4,0.0,0.0,,0.3,0.2,0.5,0.2,0.3,0.1,0.5,1.5,1998-99,10,0.42,0.09,0
Jimmy Oliver,PHO,2.0,5.5,0.5,1.5,0.333,0.5,1.0,0.0,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1998-99,10,0.5,0.25,0
Danny Schayes,ORL,19.0,7.5,0.6,1.5,0.379,0.0,,0.6,0.379,0.379,0.3,0.4,0.75,0.2,0.6,0.7,0.2,0.1,0.1,0.4,1.5,1998-99,22,0.45,0.06,0
Michael Stewart,TOR,42.0,9.4,0.5,1.3,0.415,0.0,,0.5,0.415,0.415,0.4,0.6,0.68,1.0,1.3,2.4,0.1,0.1,0.7,0.3,1.5,1998-99,32,0.48,0.08,0
Shammond Williams,ATL,2.0,2.0,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,1.5,2.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.5,1998-99,14,0.54,0.5,0
Matt Maloney,HOU,15.0,12.4,0.3,1.9,0.179,0.1,0.067,0.3,0.308,0.196,0.7,0.7,0.909,0.1,0.5,0.7,1.4,0.3,0.0,0.9,1.4,1998-99,21,0.32,0.09,0
Sean Marks,TOR,8.0,3.5,0.6,1.0,0.625,0.0,,0.6,0.625,0.625,0.1,0.3,0.5,0.0,0.1,0.1,0.0,0.1,0.0,0.4,1.4,1998-99,32,0.62,0.08,0
Willie Burton,CHH,3.0,6.0,0.3,2.3,0.143,0.0,0.0,0.3,0.167,0.143,0.7,1.3,0.5,1.3,0.7,2.0,0.0,0.0,0.0,0.3,1.3,1998-99,13,0.23,0.13,0
Negele Knight,TOR,6.0,9.3,0.5,1.3,0.375,0.0,0.0,0.5,0.429,0.375,0.3,0.7,0.5,0.2,0.8,1.0,1.3,0.2,0.0,1.2,1.3,1998-99,32,0.4,0.23,0
Antonio Lang,CLE,10.0,6.5,0.4,0.6,0.667,0.0,,0.4,0.667,0.667,0.5,0.9,0.556,0.6,1.0,1.6,0.1,0.2,0.1,0.4,1.3,1998-99,15,0.65,0.23,0
Mark Macon,DET,7.0,9.9,0.6,2.9,0.2,0.1,0.333,0.4,0.176,0.225,0.0,0.0,,0.4,0.3,0.7,0.6,0.7,0.1,0.9,1.3,1998-99,23,0.22,0.03,0
Makhtar N'Diaye,VAN,4.0,6.8,0.3,1.0,0.25,0.0,,0.3,0.25,0.25,0.8,1.0,0.75,0.8,0.5,1.3,0.3,0.0,0.3,0.3,1.3,1998-99,29,0.45,0.5,0
Bruno Šundov,DAL,3.0,3.7,0.7,2.3,0.286,0.0,,0.7,0.286,0.286,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.3,1.3,1998-99,28,0.28,-0.1,0
Gerard King,SAS,19.0,3.3,0.3,0.7,0.429,0.0,,0.3,0.429,0.429,0.6,0.9,0.611,0.3,0.4,0.7,0.2,0.1,0.1,0.2,1.2,1998-99,11,0.55,0.07,0
Mark West,ATL,49.0,10.2,0.4,1.2,0.373,0.0,,0.4,0.373,0.373,0.3,0.9,0.356,1.0,1.6,2.6,0.3,0.1,0.4,0.3,1.2,1998-99,14,0.38,0.06,0
Hot Rod Williams,DAL,25.0,16.1,0.4,1.3,0.333,0.0,,0.4,0.333,0.333,0.3,0.4,0.7,1.4,1.9,3.3,0.6,0.5,0.7,0.5,1.2,1998-99,28,0.41,0.19,0
Marty Conlon,MIA,7.0,5.0,0.4,1.9,0.231,0.0,,0.4,0.231,0.231,0.3,0.3,1.0,0.1,0.6,0.7,0.1,0.0,0.1,0.4,1.1,1998-99,12,0.27,0.01,0
Andrew Gaze,SAS,19.0,3.1,0.4,1.3,0.32,0.3,0.313,0.2,0.333,0.42,0.0,0.0,,0.1,0.2,0.3,0.3,0.1,0.1,0.2,1.1,1998-99,11,0.42,0.04,0
Loren Meyer,DEN,14.0,5.0,0.5,2.0,0.25,0.1,0.2,0.4,0.261,0.268,0.1,0.1,0.5,0.3,0.9,1.1,0.1,0.0,0.2,0.3,1.1,1998-99,33,0.27,0.05,0
Peter Aluma,SAC,2.0,2.5,0.5,1.0,0.5,0.0,,0.5,0.5,0.5,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.5,1.0,1.0,1998-99,27,0.5,0.75,0
Rick Brunson,NYK,17.0,5.6,0.4,1.2,0.286,0.0,0.0,0.4,0.375,0.286,0.3,1.1,0.278,0.2,0.4,0.6,1.1,0.5,0.0,0.7,1.0,1998-99,19,0.3,0.05,0
Steve Henson,DET,4.0,6.3,0.3,0.5,0.5,0.0,,0.3,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.8,0.3,0.0,0.8,1.0,1998-99,23,0.69,0.28,0
Anthony Parker,PHI,2.0,1.5,0.5,0.5,1.0,0.0,,0.5,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1998-99,26,1.0,0.5,0
Stojko Vranković,LAC,2.0,6.0,0.5,2.0,0.25,0.0,,0.5,0.25,0.25,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1998-99,31,0.25,1.25,0
Micheal Williams,TOR,2.0,7.5,0.5,2.5,0.2,0.0,,0.5,0.2,0.2,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,1998-99,32,0.2,-0.5,0
Monty Williams,DEN,1.0,6.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1998-99,33,0.17,-2.0,0
Rick Mahorn,PHI,16.0,7.9,0.3,1.1,0.278,0.0,,0.3,0.278,0.278,0.2,0.5,0.375,0.4,1.0,1.4,0.1,0.3,0.1,0.4,0.8,1998-99,26,0.3,0.08,0
Paul Grant,2TM,6.0,2.2,0.3,1.0,0.333,0.0,,0.3,0.333,0.333,0.0,0.0,,0.2,0.0,0.2,0.0,0.2,0.0,0.3,0.7,1998-99,-1,0.35,0.02,0
Benoit Benjamin,PHI,6.0,5.5,0.3,1.2,0.286,0.0,,0.3,0.286,0.286,0.0,0.0,,0.5,0.8,1.3,0.2,0.0,0.0,0.5,0.7,1998-99,26,0.29,0.13,0
Dwayne Schintzius,BOS,16.0,4.2,0.3,1.0,0.25,0.0,,0.3,0.25,0.25,0.2,0.3,0.75,0.4,0.8,1.2,0.5,0.0,0.2,0.6,0.7,1998-99,24,0.31,0.08,0
Jamie Watson,MIA,3.0,6.0,0.3,0.7,0.5,0.0,,0.3,0.5,0.5,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.3,0.7,1998-99,12,0.5,0.2,0
Gerald Wilkins,ORL,3.0,9.3,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.7,0.7,1.0,0.0,0.3,0.3,0.3,0.0,0.0,1.0,0.7,1998-99,22,0.11,-0.9,0
Brandon Williams,SAS,3.0,1.3,0.0,0.0,,0.0,,0.0,,,0.7,1.3,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.7,1998-99,11,0.61,0.13,0
David Wingate,NYK,20.0,4.6,0.4,0.8,0.438,0.0,,0.4,0.438,0.438,0.0,0.0,,0.2,0.3,0.4,0.3,0.2,0.0,0.3,0.7,1998-99,19,0.44,0.05,0
Duane Ferrell,GSW,8.0,5.8,0.1,1.8,0.071,0.0,,0.1,0.071,0.071,0.4,0.5,0.75,0.6,0.1,0.8,0.0,0.1,0.1,0.1,0.6,1998-99,30,0.15,-0.04,0
Chris King,UTA,8.0,5.3,0.3,0.9,0.286,0.0,,0.3,0.286,0.286,0.0,0.5,0.0,0.1,1.3,1.4,0.1,0.3,0.1,0.5,0.5,1998-99,5,0.22,0.1,0
Mark Pope,IND,4.0,6.5,0.3,1.8,0.143,0.0,0.0,0.3,0.333,0.143,0.0,0.3,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.3,0.5,1998-99,9,0.13,-0.15,0
William Cunningham,2TM,16.0,10.1,0.2,1.1,0.167,0.0,,0.2,0.167,0.167,0.0,0.1,0.0,0.8,0.9,1.8,0.1,0.1,0.7,0.3,0.4,1998-99,-1,0.17,0.11,0
Miles Simon,ORL,5.0,3.8,0.2,1.0,0.2,0.0,0.0,0.2,0.333,0.2,0.0,0.0,,0.2,0.2,0.4,0.0,0.2,0.0,0.6,0.4,1998-99,22,0.2,-0.08,0
Casey Shaw,PHI,9.0,1.6,0.1,0.9,0.125,0.0,,0.1,0.125,0.125,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.0,0.2,0.2,1998-99,26,0.11,-0.06,0
Mark Baker,TOR,1.0,2.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1998-99,32,0.0,-2.0,0
Etdrick Bohannon,WAS,2.0,2.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998-99,20,,0.0,0
Gary Grant,POR,2.0,3.5,0.0,0.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.5,0.5,0.0,0.0,0.0,1998-99,16,0.0,0.75,0
Litterial Green,CLE,1.0,2.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998-99,15,0.0,-1.0,0
Jonathan Kerner,ORL,1.0,5.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998-99,22,0.0,-1.0,0
Gheorghe Mureșan,NJN,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1998-99,18,0.0,-2.0,0
Brian Shaw,POR,1.0,5.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1998-99,16,0.0,0.0,0
Trevor Winter,MIN,1.0,5.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1998-99,17,,3.0,0
Joe Wolf,CHH,3.0,4.0,0.0,0.3,0.0,0.0,,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,1998-99,13,0.0,-0.23,0
League Average,,,,,,0.437,,0.339,,0.457,0.466,,,0.728,,,,,,,,,1998-99,-1,,,0
