Player,Team,G,MP,FG,FGA,FG%,3P,3P%,2P,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Season,TS%,EFF
Allen Iverson,PHI,75.0,42.3,10.3,24.2,0.424,1.4,0.308,8.9,0.451,0.453,8.7,10.5,0.835,0.7,3.3,4.0,7.9,2.4,0.1,4.6,30.7,2004-05,0.53,0.33
Kobe Bryant,LAL,66.0,40.7,8.7,20.1,0.433,2.0,0.339,6.7,0.472,0.482,8.2,10.1,0.816,1.4,4.5,5.9,6.0,1.3,0.8,4.1,27.6,2004-05,0.56,0.37
LeBron James,CLE,80.0,42.4,9.9,21.1,0.472,1.4,0.351,8.6,0.499,0.504,6.0,8.0,0.75,1.4,6.0,7.4,7.2,2.2,0.7,3.3,27.2,2004-05,0.55,0.35
Dirk Nowitzki,DAL,78.0,38.7,8.5,18.5,0.459,1.2,0.399,7.3,0.47,0.49,7.9,9.1,0.869,1.2,8.5,9.7,3.1,1.2,1.5,2.3,26.1,2004-05,0.58,0.36
Amar'e Stoudemire,PHO,80.0,36.1,9.3,16.7,0.559,0.0,0.188,9.3,0.564,0.56,7.3,9.9,0.733,2.7,6.2,8.9,1.6,1.0,1.6,2.4,26.0,2004-05,0.62,0.33
Tracy McGrady,HOU,78.0,40.8,9.2,21.3,0.431,1.8,0.326,7.3,0.468,0.473,5.5,7.1,0.774,0.9,5.3,6.2,5.7,1.7,0.7,2.6,25.7,2004-05,0.53,0.3
Gilbert Arenas,WAS,80.0,40.9,8.2,19.0,0.431,2.6,0.365,5.6,0.469,0.498,6.5,8.0,0.814,1.0,3.7,4.7,5.1,1.7,0.3,3.0,25.5,2004-05,0.57,0.27
Metta World Peace,IND,7.0,41.6,8.4,17.0,0.496,1.0,0.412,7.4,0.51,0.525,6.7,7.3,0.922,1.1,5.3,6.4,3.1,1.7,0.9,2.4,24.6,2004-05,0.61,3.59
Vince Carter,2TM,77.0,36.7,9.0,20.0,0.452,1.6,0.406,7.4,0.463,0.493,4.8,6.0,0.798,1.4,3.8,5.2,4.2,1.4,0.6,2.2,24.5,2004-05,0.54,0.28
Jermaine O'Neal,IND,44.0,34.8,8.8,19.4,0.452,0.0,0.167,8.8,0.454,0.453,6.7,8.9,0.754,1.9,6.9,8.8,1.9,0.6,2.0,3.0,24.3,2004-05,0.52,0.5
Dwyane Wade,MIA,77.0,38.6,8.2,17.1,0.478,0.2,0.289,8.0,0.485,0.483,7.5,9.9,0.762,1.4,3.7,5.2,6.8,1.6,1.1,4.2,24.1,2004-05,0.56,0.3
Ray Allen,SEA,78.0,39.3,8.2,19.2,0.428,2.7,0.376,5.5,0.459,0.498,4.8,5.5,0.883,1.0,3.4,4.4,3.7,1.1,0.1,2.2,23.9,2004-05,0.55,0.25
Michael Redd,MIL,75.0,38.0,8.3,18.9,0.441,1.4,0.355,6.9,0.463,0.477,4.9,5.8,0.854,1.0,3.2,4.2,2.3,0.8,0.1,1.8,23.0,2004-05,0.54,0.23
Shaquille O'Neal,MIA,73.0,34.1,9.0,15.0,0.601,0.0,,9.0,0.601,0.601,4.8,10.5,0.461,3.5,6.9,10.4,2.7,0.5,2.3,2.8,22.9,2004-05,0.58,0.33
Kevin Garnett,MIN,82.0,38.1,8.3,16.6,0.502,0.1,0.24,8.3,0.507,0.504,5.4,6.7,0.811,3.0,10.5,13.5,5.7,1.5,1.4,2.7,22.2,2004-05,0.57,0.39
Richard Jefferson,NJN,33.0,41.1,7.2,17.1,0.422,0.9,0.337,6.3,0.438,0.449,6.9,8.2,0.844,1.5,5.8,7.3,4.0,1.0,0.5,4.0,22.2,2004-05,0.54,0.6
Corey Maggette,LAC,66.0,36.9,6.4,14.9,0.431,0.8,0.304,5.7,0.457,0.457,8.5,10.0,0.857,1.1,4.9,6.0,3.4,1.1,0.1,3.0,22.2,2004-05,0.58,0.3
Larry Hughes,WAS,61.0,38.7,7.7,17.8,0.43,1.0,0.282,6.7,0.465,0.457,5.8,7.4,0.777,1.2,5.0,6.3,4.7,2.9,0.3,2.5,22.0,2004-05,0.52,0.36
Stephon Marbury,NYK,82.0,40.0,7.4,16.0,0.462,1.4,0.354,6.0,0.497,0.506,5.6,6.7,0.834,0.6,2.4,3.0,8.1,1.5,0.1,2.8,21.7,2004-05,0.57,0.27
Jason Richardson,GSW,72.0,37.8,8.5,19.0,0.446,1.7,0.338,6.7,0.486,0.492,3.0,4.3,0.693,1.7,4.2,5.9,3.9,1.5,0.4,2.3,21.7,2004-05,0.52,0.27
Paul Pierce,BOS,82.0,36.1,6.8,14.9,0.455,1.3,0.37,5.5,0.481,0.499,6.7,8.1,0.822,1.0,5.6,6.6,4.2,1.6,0.5,2.8,21.6,2004-05,0.58,0.27
Steve Francis,ORL,78.0,38.2,7.2,17.1,0.423,0.5,0.299,6.7,0.436,0.438,6.4,7.8,0.823,1.6,4.2,5.8,7.0,1.4,0.4,4.1,21.3,2004-05,0.52,0.26
Carmelo Anthony,DEN,75.0,34.8,7.1,16.4,0.431,0.6,0.266,6.5,0.455,0.448,6.1,7.6,0.796,1.9,3.8,5.7,2.6,0.9,0.4,3.0,20.8,2004-05,0.53,0.22
Rashard Lewis,SEA,71.0,38.0,7.5,16.2,0.462,2.4,0.4,5.1,0.499,0.537,3.1,4.0,0.777,1.5,3.9,5.5,1.3,1.1,0.9,1.7,20.5,2004-05,0.57,0.25
Tim Duncan,SAS,66.0,33.4,7.8,15.8,0.496,0.0,0.333,7.8,0.498,0.498,4.6,6.9,0.67,3.1,8.0,11.1,2.7,0.7,2.6,1.9,20.3,2004-05,0.54,0.38
Peja Stojaković,SAC,66.0,38.4,6.8,15.4,0.444,2.6,0.402,4.2,0.475,0.53,3.8,4.2,0.92,0.9,3.4,4.3,2.1,1.2,0.2,1.5,20.1,2004-05,0.58,0.26
Elton Brand,LAC,81.0,37.0,7.8,15.4,0.503,0.0,0.0,7.8,0.504,0.503,4.5,6.0,0.752,3.7,5.9,9.5,2.6,0.8,2.1,2.3,20.0,2004-05,0.55,0.29
Grant Hill,ORL,67.0,34.9,7.7,15.1,0.509,0.0,0.231,7.7,0.513,0.511,4.2,5.1,0.821,1.1,3.6,4.7,3.3,1.4,0.4,2.4,19.7,2004-05,0.57,0.28
Mike Bibby,SAC,80.0,38.6,7.0,15.8,0.443,1.6,0.36,5.4,0.477,0.495,4.0,5.2,0.775,1.0,3.2,4.2,6.8,1.6,0.4,2.5,19.6,2004-05,0.54,0.25
Antawn Jamison,WAS,68.0,38.3,7.6,17.5,0.437,1.0,0.341,6.6,0.457,0.466,3.3,4.4,0.76,2.4,5.3,7.6,2.3,0.8,0.2,1.7,19.6,2004-05,0.5,0.26
Chris Webber,2TM,67.0,35.4,8.3,19.1,0.433,0.2,0.341,8.1,0.436,0.438,2.7,3.4,0.794,1.9,7.2,9.1,4.7,1.4,0.8,2.7,19.5,2004-05,0.47,0.32
Shawn Marion,PHO,81.0,38.8,7.6,15.9,0.476,1.4,0.334,6.2,0.526,0.52,2.8,3.4,0.833,2.9,8.4,11.3,1.9,2.0,1.5,1.5,19.4,2004-05,0.56,0.32
Baron Davis,2TM,46.0,34.4,6.3,16.3,0.387,2.6,0.333,3.8,0.435,0.465,4.0,5.3,0.761,0.7,3.1,3.8,7.9,1.8,0.3,2.8,19.2,2004-05,0.52,0.41
Antoine Walker,2TM,77.0,38.4,7.5,17.9,0.422,1.4,0.323,6.1,0.455,0.462,2.6,4.8,0.539,2.4,6.7,9.0,3.4,1.2,0.8,3.3,19.1,2004-05,0.48,0.23
Zach Randolph,POR,46.0,34.8,7.2,16.1,0.448,0.0,0.0,7.2,0.452,0.448,4.5,5.5,0.815,3.1,6.5,9.6,1.9,0.7,0.4,2.4,18.9,2004-05,0.51,0.42
Richard Hamilton,DET,76.0,38.5,6.7,15.3,0.44,0.5,0.305,6.2,0.455,0.455,4.8,5.6,0.858,1.0,2.9,3.9,4.9,1.0,0.2,2.9,18.7,2004-05,0.53,0.22
Stephen Jackson,IND,51.0,35.4,6.5,16.1,0.403,2.0,0.36,4.5,0.426,0.466,3.7,4.5,0.83,0.9,4.0,4.9,2.3,1.3,0.3,2.4,18.7,2004-05,0.52,0.29
